id;imdb_id;title;original_title;overview;vote_average;vote_count;popularity;revenue;budget
2395;tt0463872;Astérix at the Olympic Games;Astérix aux Jeux Olympiques;Astérix and Obélix have to win the Olympic Games in order to help their friend Alafolix marry Princess Irina. Brutus uses every trick in the book to have his own team win the game, and get rid of his father Julius Caesar in the process.;5.2;1425;10.303;132900000;97250400
71157;tt1661420;Polisse;Polisse;Paris, France. Fred and his colleagues, members of the BPM, the Police Child Protection Unit, dedicated to pursuing all sorts of offenses committed against the weakest, must endure the scrutiny of Melissa, a photographer commissioned to graphically document the daily routine of the team.;7.8;876;10.241;20374201;0
382589;tt5351818;Rock'n Roll;Rock'n Roll;Guillaume Canet is told by a young co-star that he's no longer Rock'n' Roll and can't sell films anymore. He then tries to prove her wrong and gets help from his girlfriend, Marion Cotillard.;5.2;612;10.225;0;17900000
15362;tt0411272;Mesrine: Public Enemy #1;L'ennemi public n°1;The story of Jacques Mesrine, France's public enemy No. 1 during the 1970s. After nearly two decades of legendary criminal feats -- from multiple bank robberies and to prison breaks -- Mesrine was gunned down by the French police in Paris.;7.4;613;10.219;0;80000000
437739;tt7029854;The Mansion;Le Manoir;A band of students comes to celebrate the New Year in an old manor house isolated from everything. But soon after their arrival, strange events disrupt the atmosphere, before the party turns squarely to the nightmare ...;5.0;364;10.179;0;0
44018;tt0089960;Vagabond;Sans toit ni loi;Mona Bergeron is dead, her frozen body found in a ditch in the French countryside. From this, the film flashes back to the weeks leading up to her death. Through these flashbacks, Mona gradually declines as she travels from place to place, taking odd jobs and staying with whomever will offer her a place to sleep. Mona is fiercely independent, craving freedom over comfort, but it is this desire to be free that will eventually lead to her demise.;7.3;157;10.177;0;0
454549;tt5313906;Zombillenium;Zombillénium;Zombillenium, the Halloween theme park, happens to be the one place on earth where real monsters can hide in plain sight. When Hector, a human, threatens to disclose the true identity of his employees, the Vampire Park Manager has no other choice but to hire him. To see his daughter, Hector must escape from his Zombies and Werewolves coworkers.;6.8;134;10.139;0;0
485166;tt7491144;Amanda;Amanda;David, who gets by doing odd jobs, meets Lena, who has just moved up to Paris, and falls in love. But soon after, his life is brutally interrupted by the sudden death of his sister. Beyond the shock, and the pain, David now finds himself alone with his young niece Amanda to care for.;7.1;165;10.138;0;0
337703;tt3666024;The Red Turtle;La tortue rouge;The dialogue-less film follows the major life stages of a castaway on a deserted tropical island populated by turtles, crabs and birds.;7.5;855;10.069;921974;0
24260;tt0080929;Inspector Blunder;Inspecteur La Bavure;A detective, fresh out of the academy (lowest mark in class), gets the assignment to bodyguard a spoiled rich girl reporter. She's been interviewed on TV and has questioned the virility of a mobster who kidnaps her later.;6.3;118;10.043;0;0
9317;tt0083109;Cabbage Soup;La Soupe aux choux;2 buddy farmers are visited by aliens who like their domestic cabbage soup.;6.3;603;10.038;0;0
10818;tt0869977;Water Lilies;Naissance des pieuvres;Set during a sultry summer in a French suburb, Marie is desperate to join the local pool's synchronized swimming team, but is her interest solely for the sake of sport or for a chance to get close to Floriane, the bad girl of the team? Sciamma, and the two leads, capture the uncertainty of teenage sexuality with a sympathetic eye in this delicate drama of the angst of coming-of-age.;6.2;219;9.993;0;0
477489;tt5092380;Just a Breath Away;Dans la brume;When a deadly mist engulfs Paris, people find refuge in the upper floors of the buildings. With no information, no electricity and hardly any supplies, Mathieu, Anna and their daughter Sarah try to survive the disaster.;6.0;458;9.991;2842040;13749400
1600;tt0101765;The Double Life of Véronique;La double vie de Véronique;"Véronique is a beautiful young French woman who aspires to be a renowned singer; Weronika lives in Poland, has a similar career goal and looks identical to Véronique, though the two are not related. The film follows both women as they contend with the ups and downs of their individual lives, with Véronique embarking on an unusual romance with Alexandre Fabbri, a puppeteer who may be able to help her with her existential issues.";7.6;437;9.987;1999955;0
14645;tt0084555;Santa Claus Is a Stinker;Le Père Noël est une ordure;"Félix, disguised as Father Christmas, hands out leaflets advertising a sexy Christmas party. His place is taken by an African Santa Claus and he returns to his caravan only to find his girlfriend Josette about to leave him. When he comes after her, she takes refuge at ""SOS Distress"", run by two neurotics, Thérèse and Pierre.";7.4;699;9.915;0;0
